"IfcGUID","Family","Type","Assembly_code","Assembly_description","Level","Largeur (m)","Hauteur (m)","From Room: Number","To Room: Number","Heat Transfer Coefficient (U)","Thermal Resistance (R)","Thickness"
"3NOn8GwfX9xO2GvC26wXmy","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","RDC","1.80","2.45","","008","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1t7ixAAub1EfduugOYjjHn","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","RDC","0.00","0.00","lift2","000","","","0.00"
"1t7ixAAub1EfduugOYjjHo","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","RDC","0.00","0.00","lift1","000","","","0.00"
"1t7ixAAub1EfduugOYjjLz","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","1ET","0.00","0.00","lift2","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjL_","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","1ET","0.00","0.00","lift1","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjQN","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","2ET","0.00","0.00","lift2","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjQG","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","2ET","0.00","0.00","lift1","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjQ4","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","3ET","0.00","0.00","lift2","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjQ5","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","3ET","0.00","0.00","lift1","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjRv","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","4ET","0.00","0.00","lift2","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjRw","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","4ET","0.00","0.00","lift1","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjRk","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","5ET","0.00","0.00","lift2","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjRl","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","5ET","0.00","0.00","lift1","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjRZ","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","6ET","0.00","0.00","lift2","stairlanding","","","0.00"
"1t7ixAAub1EfduugOYjjRS","Portes Ascenseur","16 pers. - 1250kg","C1020","Interior Doors","6ET","0.00","0.00","lift1","stairlanding","","","0.00"
"1iW9VRpBLDdRuFZ3vS8qtR","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","1ET","1.52","2.44","","","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1iW9VRpBLDdRuFZ3vS8qsQ","Double vitrée","Double vitrée","B2030100","Glazed Doors & Entrances","1ET","1.52","2.44","","","3.69 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFsq","Simple avec alignement","0915 x 2134mm","C1020","Interior Doors","RDC","0.92","2.13","012","006","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFtx","Simple avec alignement","0915 x 2134mm","C1020","Interior Doors","RDC","0.92","2.13","012","005-1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFee","Simple avec alignement","0915 x 2134mm","C1020","Interior Doors","RDC","0.92","2.13","024","018","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFWi","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","RDC","0.86","1.95","024","025","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFYJ","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","RDC","0.86","1.95","024","023","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFZf","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","RDC","0.76","2.03","023","018","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFbX","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","RDC","0.76","2.03","024","021","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFOy","Simple avec alignement","0864 x 2134mm","C1020","Interior Doors","RDC","0.86","2.13","020","019","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFQc","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","RDC","0.86","1.95","022","019","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFSA","Simple avec alignement","0915 x 2032mm","C1020","Interior Doors","RDC","0.92","2.03","","020","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lFIO","Simple avec alignement","0915 x 2032mm","C1020","Interior Doors","RDC","0.92","2.03","022","031-2","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"21o6KNzHT6ohD5DYM2lCuA","Double (R)","1.43m x 2.04m","C1020","Interior Doors","RDC","1.43","2.04","035","012","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"21o6KNzHT6ohD5DYM2lCvV","Double (R)","1.63m x 2.04m","C1020","Interior Doors","RDC","1.63","2.04","035","000","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"21o6KNzHT6ohD5DYM2lCxI","Simple avec alignement","0915 x 2032mm","C1020","Interior Doors","RDC","0.92","2.03","024","019","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKRg","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","RDC","0.86","1.95","018","018","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKI9","Simple avec alignement","0915 x 2032mm","C1020","Interior Doors","1ET","0.92","2.03","south-corridor","south-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKGG","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","south-corridor","131","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKF2","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","1ET","0.76","2.03","131","131","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTKC7","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","1ET","0.76","2.03","131","131","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK8y","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","south-corridor","134","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK9m","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","south-corridor","129","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK6m","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","south-corridor","132","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK7c","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","121","129","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK7A","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","south-corridor","120","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK58","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","104","112","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK3U","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","104","north-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"1fvP3ZNAzBS8uyrhHeTK1W","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","1ET","0.86","1.95","north-corridor","101F","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
