"IfcGUID","Family","Type","Level","Room: Number","KNX Address","Assembly_code","Assembly_description"
"20dfxgqIv4JQT5I5XtBUBA","KNX Device","Thing","RDC","022","1/0/101","D3060","Controls & Instrumentation"
"25$dn2KU131QZxX6sBPa_b","KNX Device","Thing","ENT","022","1/0/101","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBUNk","KNX Device","Thing","ENT","022","1/0/101","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBVQd","KNX Device","Thing","RDC","000","1/0/102","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBUJQ","KNX Device","Thing","ENT","stairlanding","1/0/103","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBVPo","KNX Device","Thing","RDC","035","1/0/104","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBUj5","KNX Device","Thing","RDC","035","1/0/104","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBUN3","KNX Device","Thing","ENT","000","1/0/104","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBVRh","KNX Device","Thing","RDC","012","1/0/105","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBUfQ","KNX Device","Thing","RDC","024","1/0/106","D3060","Controls & Instrumentation"
"25$dn2KU131QZxX6sBPa0q","KNX Device","Thing","RDC","020","1/0/107","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBUtO","KNX Device","Thing","RDC","021","1/0/108","D3060","Controls & Instrumentation"
"35T$8X4wrCFRCBITtmXa3o","KNX Device","Thing","RDC","023","1/0/109","D3060","Controls & Instrumentation"
"35T$8X4wrCFRCBITtmXa6_","KNX Device","Thing","RDC","018","1/0/110","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBPTJ","KNX Device","Thing","RDC","032-1","1/0/151","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBPHX","KNX Device","Thing","ENT","033","1/0/154","D3060","Controls & Instrumentation"
"25$dn2KU131QZxX6sBPaxi","KNX Device","Thing","ENT","007","1/0/155","D3060","Controls & Instrumentation"
"25$dn2KU131QZxX6sBPadi","KNX Device","Thing","ENT","003","1/0/156","D3060","Controls & Instrumentation"
"25$dn2KU131QZxX6sBPack","KNX Device","Thing","ENT","007B","1/0/157","D3060","Controls & Instrumentation"
"25$dn2KU131QZxX6sBPahd","KNX Device","Thing","1ET","103","1/1/101","D3060","Controls & Instrumentation"
"25$dn2KU131QZxX6sBPaZK","KNX Device","Thing","1ET","111","1/1/102","D3060","Controls & Instrumentation"
"25$dn2KU131QZxX6sBURPi","KNX Device","Thing","1ET","121","1/1/103","D3060","Controls & Instrumentation"
"25$dn2KU131QZxX6sBUR1U","KNX Device","Thing","1ET","129","1/1/104","D3060","Controls & Instrumentation"
"0p7mBGuenBgu0OtakV3tv$","KNX Device","Thing","1ET","134","1/1/105","D3060","Controls & Instrumentation"
"25$dn2KU131QZxX6sBURCo","KNX Device","Thing","1ET","132","1/1/106","D3060","Controls & Instrumentation"
"25$dn2KU131QZxX6sBURA4","KNX Device","Thing","1ET","120","1/1/107","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBSEQ","KNX Device","Thing","1ET","north-corridor","1/1/108","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBSDa","KNX Device","Thing","1ET","south-corridor","1/1/108","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBTLy","KNX Device","Thing","1ET","espace-eleves","1/1/109","D3060","Controls & Instrumentation"
"25$dn2KU131QZxX6sBURQC","KNX Device","Thing","1ET","104","1/1/110","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBSFi","KNX Device","Thing","1ET","104","1/1/110","D3060","Controls & Instrumentation"
"0p7mBGuenBgu0OtakV3tut","KNX Device","Thing","1ET","131","1/1/111","D3060","Controls & Instrumentation"
"2A0Jb8xK52avqe0RVQhG5P","KNX Device","Thing","1ET","stairlanding","1/1/112","D3060","Controls & Instrumentation"
"20dfxgqIv4JQT5I5XtBTT_","KNX Device","Thing","2ET","north-corridor","1/1/113","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKyXy","KNX Device","Thing","2ET","203","1/1/114","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKydg","KNX Device","Thing","2ET","207","1/1/115","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKyvS","KNX Device","Thing","2ET","211","1/1/116","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKyUQ","KNX Device","Thing","2ET","220","1/1/117","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKyRD","KNX Device","Thing","2ET","224","1/1/118","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKy7x","KNX Device","Thing","2ET","232","1/1/119","D3060","Controls & Instrumentation"
