"IfcGUID","Level","Room: Number","Assembly Code","Assembly Description","Family","Type"
"1t7ixAAub1EfduugOYjs9G","RDC","005-1","E2010","Fixed Furnishings","Meuble evier","100 x 60 cm"
"2jZSVox51F9ApGgkrw4PJT","RDC","012","E2020","Moveable Furnishings","Bureau élève","Double"
"2jZSVox51F9ApGgkrw4Qeo","RDC","012","E2020","Moveable Furnishings","Bureau élève","Double"
"2jZSVox51F9ApGgkrw4M67","RDC","012","","","Bureau avec PC","Bureau simple"
"2jZSVox51F9ApGgkrw4M2H","RDC","012","E2020","Moveable Furnishings","Bureau élève type 2","Simple"
"2jZSVox51F9ApGgkrw4MU9","RDC","012","","","Bureau avec PC","Bureau simple"
"2jZSVox51F9ApGgkrw4MQD","RDC","012","E2020","Moveable Furnishings","Bureau élève type 2","Simple"
"2jZSVox51F9ApGgkrw4MMr","RDC","012","E2010","Fixed Furnishings","Tableau","150 x 80"
"2MdVwm5tHB8O2AnKvxSsbe","RDC","018","","","Sèche main","Fixé au mur"
"1t7ixAAub1EfduugOYjs40","RDC","020","E2010","Fixed Furnishings","Meuble evier","100 x 60 cm"
"1DDd_SBRj1e8DfgHJsdSW9","RDC","022","E2020","Moveable Furnishings","Bureau enseignant","Bureau double"
"1DDd_SBRj1e8DfgHJsdSuy","RDC","022","E2010","Fixed Furnishings","Tableau","422 x 200"
"1t7ixAAub1EfduugOYjfww","RDC","023","E2010","Fixed Furnishings","Séparateur urinoir","Standard"
"1t7ixAAub1EfduugOYjfwx","RDC","023","C1020410","Door Hardware","Doors_Accessories_Colcom_Hydraulic-Hinge-Biloba-8011SF","Glass Thickness 8.0 mm"
"1t7ixAAub1EfduugOYjfwq","RDC","023","C1020410","Door Hardware","Doors_Accessories_Colcom_Hydraulic-Hinge-Biloba-8011SF","Glass Thickness 8.0 mm"
"1t7ixAAub1EfduugOYjfvj","RDC","023","E2010","Fixed Furnishings","Séparateur urinoir","Standard"
"1t7ixAAub1EfduugOYjfvk","RDC","023","C1020410","Door Hardware","Doors_Accessories_Colcom_Hydraulic-Hinge-Biloba-8011SF","Glass Thickness 8.0 mm"
"1t7ixAAub1EfduugOYjfvl","RDC","023","C1020410","Door Hardware","Doors_Accessories_Colcom_Hydraulic-Hinge-Biloba-8011SF","Glass Thickness 8.0 mm"
"1t7ixAAub1EfduugOYjfvP","RDC","023","E2010","Fixed Furnishings","Séparateur urinoir","Standard"
"1t7ixAAub1EfduugOYjfvQ","RDC","023","C1020410","Door Hardware","Doors_Accessories_Colcom_Hydraulic-Hinge-Biloba-8011SF","Glass Thickness 8.0 mm"
"1t7ixAAub1EfduugOYjfvR","RDC","023","C1020410","Door Hardware","Doors_Accessories_Colcom_Hydraulic-Hinge-Biloba-8011SF","Glass Thickness 8.0 mm"
"2MdVwm5tHB8O2AnKvxSsaq","RDC","023","","","Miroir","400 x 1500"
"2MdVwm5tHB8O2AnKvxSsa5","RDC","023","","","Sèche main","Fixé au mur"
"3x$o66KOb0mRMnez4qitvO","RDC","035","E2010","Fixed Furnishings","Banque accueil","BANQUE_AC"
"0vf03H_8n8bggQ9SHN5qsn","RDC","035","","","Porte vélo","Au sol"
"0vf03H_8n8bggQ9SHN5qpj","RDC","035","","","Porte vélo","Au sol"
"0ImRR5UQf38efws_Jt6DHL","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DLz","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DLb","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DLj","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DLL","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DLT","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DKj","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DKN","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DB1","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D8r","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D8z","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D8b","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D8j","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6D8L","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
