"IfcGUID","Level","ZoneName","Number","Name","IfcExportAs","Department","Occupancy","Area","Volume","Perimeter","Unbounded Height"
"2yFdxy3_L2bf88kM4higSE","SSOL","SSOL","-100","Technical Gallery","IfcSpace","","Unoccupied","50 m²","141.19 m³","59.57","3.20"
"2yFdxy3_L2bf88kM4higSN","SSOL","SSOL","-101","Water Meter Room","IfcSpace","Local technique","Unoccupied","3 m²","9.61 m³","7.42","3.20"
"2yFdxy3_L2bf88kM4higSP","SSOL","SSOL","-102","Elevator Machinery Room","IfcSpace","","Unoccupied","5 m²","9.92 m³","9.33","3.20"
"0h1417sob1_w6opPcsjJfI","ENT","ENT_Floor","000","Corridor","IfcSpace","Public","Occupied","48 m²","96.96 m³","35.80","2.66"
"3cgL22Rh50aPZnHkdtNFJX","RDC","RDC_Floor","000","Stairlanding","IfcSpace","Public","Occupied","56 m²","125.30 m³","48.97","2.45"
"1_bgsf_bP5g97UQjHnvx$t","1ET","1ET_North","1ETNTS1","Technical Shaft","IfcSpace","Local technique","Unoccupied","3 m²","10.57 m³","9.12","3.67"
"1_bgsf_bP5g97UQjHnvxyF","1ET","1ET_North","1ETNTS2","Technical Shaft","IfcSpace","Public","Occupied","3 m²","9.93 m³","8.70","3.67"
"1_bgsf_bP5g97UQjHnvxvF","1ET","1ET_South","1ETSTS1","Technical Shaft","IfcSpace","Local technique","Unoccupied","4 m²","13.41 m³","9.49","3.67"
"1_bgsf_bP5g97UQjHnvxuW","1ET","1ET_South","1ETSTS2","Technical Shaft","IfcSpace","Local technique","Unoccupied","4 m²","13.06 m³","9.40","3.67"
"1gC2lqngj8hQ9OgWx$76T0","2ET","2ET_North","2ETNTS1","Technical Shaft","IfcSpace","Local technique","Unoccupied","3 m²","10.49 m³","9.05","3.64"
"1gC2lqngj8hQ9OgWx$76TA","2ET","2ET_North","2ETNTS2","Technical Shaft","IfcSpace","Local technique","Unoccupied","2 m²","5.56 m³","5.61","3.64"
"1gC2lqngj8hQ9OgWx$76Ht","2ET","2ET_South","2ETSTS1","Technical Shaft","IfcSpace","Local technique","Unoccupied","4 m²","12.39 m³","9.35","3.64"
"1gC2lqngj8hQ9OgWx$76Hm","2ET","2ET_South","2ETSTS2","Technical Shaft","IfcSpace","Public","Occupied","3 m²","11.44 m³","8.55","3.64"
