"IfcGUID","Description","Dimensions (m)","Level","Conductivité thermique U (W/(m2.K))","Résistance thermique R ((m2.K)/W)","Largeur (m)","Hauteur (m)","From Room: Number","To Room: Number"
"26JZu79QnAxQovoEhys5f9","1 vantail - Fixe - Intérieur","0.5m x 2.10m","3ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.40","2.06","322","south-corridor"
"26JZu79QnAxQovoEhys5f3","1 vantail - Fixe - Intérieur","0.5m x 2.10m","2ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.40","2.06","322","south-corridor"
"0QC_c1w8j6nf9rGBcNjZ3N","1 vantail - Fixe - Intérieur","0.6m x 0.90m","4ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.60","0.90","405","north-corridor"
"0QC_c1w8j6nf9rGBcNjZV4","1 vantail - Fixe - Intérieur","0.6m x 0.90m","4ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.60","0.90","405","north-corridor"
"0QC_c1w8j6nf9rGBcNjZSq","1 vantail - Fixe - Intérieur","0.6m x 0.90m","4ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.60","0.90","405","north-corridor"
"0QC_c1w8j6nf9rGBcNjZRV","1 vantail - Fixe - Intérieur","0.6m x 0.90m","4ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.60","0.90","405","north-corridor"
"0QC_c1w8j6nf9rGBcNjZQn","1 vantail - Fixe - Intérieur","0.6m x 0.90m","4ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.60","0.90","405","north-corridor"
"0QC_c1w8j6nf9rGBcNjZQJ","1 vantail - Fixe - Intérieur","0.6m x 0.90m","4ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.60","0.90","405","north-corridor"
"0QC_c1w8j6nf9rGBcNjZOq","1 vantail - Fixe - Intérieur","0.6m x 0.90m","4ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.60","0.90","405","north-corridor"
"0QC_c1w8j6nf9rGBcNjZOM","1 vantail - Fixe - Intérieur","0.6m x 0.90m","4ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.60","0.90","405","north-corridor"
"26JZu79QnAxQovoEhys40Z","1 vantail - Fixe - Intérieur","0.8m x 2.10m","3ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.80","2.06","north-corridor","300"
"26JZu79QnAxQovoEhys4O8","1 vantail - Fixe - Intérieur","0.8m x 2.10m","3ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.80","2.06","north-corridor","300"
"3ipRFivfD2RetyMn15GAxR","1 vantail - Fixe - Intérieur","0.9m x 0.90m","6ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.90","0.90","609","610"
"3ipRFivfD2RetyMn15GAZk","1 vantail - Fixe - Intérieur","0.9m x 0.90m","6ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.90","0.90","607","610"
"3ipRFivfD2RetyMn15GAa2","1 vantail - Fixe - Intérieur","0.9m x 0.90m","6ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.90","0.90","607","610"
"3ipRFivfD2RetyMn15G9P8","1 vantail - Fixe - Intérieur","0.9m x 0.90m","6ET","5.56 W/(m²·K)","0.18 (m²·K)/W","0.90","0.90","604","610"
